lens_id,domain,cpc_rule_hit,keyword_rule_hit,rule_union_hit,adjudicated_hit,action,screening_category,analysis_set_443
172-275-795-866-748,1-1,0,0,0,0,none,included_classified,true
172-275-795-866-748,1-2,0,0,0,0,none,included_classified,true
172-275-795-866-748,1-3,0,0,0,0,none,included_classified,true
172-275-795-866-748,2-1,0,0,0,0,none,included_classified,true
172-275-795-866-748,2-2,0,0,0,0,none,included_classified,true
172-275-795-866-748,2-3,0,0,0,0,none,included_classified,true
172-275-795-866-748,2-4,0,1,1,0,suppress,included_classified,true
172-275-795-866-748,3-1,0,0,0,0,none,included_classified,true
172-275-795-866-748,3-2,0,0,0,0,none,included_classified,true
172-275-795-866-748,3-3,0,0,0,0,none,included_classified,true
172-275-795-866-748,4-1,0,0,0,0,none,included_classified,true
172-275-795-866-748,4-2,0,0,0,0,none,included_classified,true
172-275-795-866-748,4-3,0,1,1,1,keep,included_classified,true
172-275-795-866-748,4-4,0,0,0,0,none,included_classified,true
172-275-795-866-748,4-5,0,0,0,0,none,included_classified,true
102-023-038-110-548,1-1,0,0,0,1,add,included_classified,true
102-023-038-110-548,1-2,0,1,1,1,keep,included_classified,true
102-023-038-110-548,1-3,0,0,0,0,none,included_classified,true
102-023-038-110-548,2-1,0,0,0,0,none,included_classified,true
102-023-038-110-548,2-2,0,0,0,0,none,included_classified,true
102-023-038-110-548,2-3,0,0,0,0,none,included_classified,true
102-023-038-110-548,2-4,0,1,1,0,suppress,included_classified,true
102-023-038-110-548,3-1,0,0,0,0,none,included_classified,true
102-023-038-110-548,3-2,0,0,0,0,none,included_classified,true
102-023-038-110-548,3-3,0,0,0,0,none,included_classified,true
102-023-038-110-548,4-1,0,0,0,0,none,included_classified,true
102-023-038-110-548,4-2,0,0,0,0,none,included_classified,true
102-023-038-110-548,4-3,0,0,0,0,none,included_classified,true
102-023-038-110-548,4-4,0,0,0,0,none,included_classified,true
102-023-038-110-548,4-5,0,0,0,0,none,included_classified,true
001-644-359-654-888,1-1,0,0,0,0,none,included_classified,true
001-644-359-654-888,1-2,0,0,0,0,none,included_classified,true
001-644-359-654-888,1-3,0,0,0,0,none,included_classified,true
001-644-359-654-888,2-1,1,1,1,1,keep,included_classified,true
001-644-359-654-888,2-2,0,0,0,1,add,included_classified,true
001-644-359-654-888,2-3,1,0,1,1,keep,included_classified,true
001-644-359-654-888,2-4,1,0,1,1,keep,included_classified,true
001-644-359-654-888,3-1,0,0,0,1,add,included_classified,true
001-644-359-654-888,3-2,0,0,0,0,none,included_classified,true
001-644-359-654-888,3-3,0,0,0,0,none,included_classified,true
001-644-359-654-888,4-1,0,1,1,1,keep,included_classified,true
001-644-359-654-888,4-2,0,0,0,0,none,included_classified,true
001-644-359-654-888,4-3,0,0,0,0,none,included_classified,true
001-644-359-654-888,4-4,0,0,0,0,none,included_classified,true
001-644-359-654-888,4-5,0,0,0,0,none,included_classified,true
050-086-714-811-491,1-1,0,0,0,0,none,included_classified,true
050-086-714-811-491,1-2,0,0,0,0,none,included_classified,true
050-086-714-811-491,1-3,0,0,0,0,none,included_classified,true
050-086-714-811-491,2-1,0,0,0,0,none,included_classified,true
050-086-714-811-491,2-2,0,0,0,0,none,included_classified,true
050-086-714-811-491,2-3,0,0,0,0,none,included_classified,true
050-086-714-811-491,2-4,0,1,1,0,suppress,included_classified,true
050-086-714-811-491,3-1,0,0,0,0,none,included_classified,true
050-086-714-811-491,3-2,0,0,0,0,none,included_classified,true
050-086-714-811-491,3-3,0,0,0,0,none,included_classified,true
050-086-714-811-491,4-1,0,0,0,0,none,included_classified,true
050-086-714-811-491,4-2,0,0,0,0,none,included_classified,true
050-086-714-811-491,4-3,1,1,1,1,keep,included_classified,true
050-086-714-811-491,4-4,1,1,1,1,keep,included_classified,true
